tconst,title_key,startYear,year_film,oscar_num_nominations,oscar_num_wins,oscar_was_nominated,oscar_was_winner,year_diff
tt0878804,the blind side,2009,2009,2,1,1,1,0.0
tt0110882,before the rain,1994,1994,1,0,1,0,0.0
tt6495094,little women,2018,2019,6,1,1,1,1.0
tt0450188,la vie en rose,2007,2007,3,2,1,1,0.0
tt0047296,on the waterfront,1954,1954,12,8,1,1,0.0
tt0120255,the sweet hereafter,1997,1997,2,0,1,0,0.0
tt6966692,green book,2018,2018,5,3,1,1,0.0
tt3544082,45 years,2015,2015,1,0,1,0,0.0
tt0216787,the taste of others,1998,2000,1,0,1,0,2.0
tt4209788,molly s game,2017,2017,1,0,1,0,0.0
tt0112573,braveheart,1995,1995,10,5,1,1,0.0
tt1170358,the hobbit the desolation of smaug,2013,2013,3,0,1,0,0.0
tt2322441,fifty shades of grey,2015,2015,1,0,1,0,0.0
tt0783233,atonement,2007,2007,7,1,1,1,0.0
tt0095953,rain man,1988,1988,8,4,1,1,0.0
tt0286244,the triplets of belleville,2003,2003,2,0,1,0,0.0
tt0042742,mister 880,1950,1950,1,0,1,0,0.0
tt1340107,in a better world,2010,2010,1,1,1,1,0.0
tt0071230,blazing saddles,1974,1974,3,0,1,0,0.0
tt0077416,the deer hunter,1978,1978,9,5,1,1,0.0
tt0813547,the counterfeiters,2007,2007,1,1,1,1,0.0
tt0083226,three brothers,1981,1981,1,0,1,0,0.0
tt0053198,the 400 blows,1959,1959,1,0,1,0,0.0
tt0036775,double indemnity,1944,1944,7,0,1,0,0.0
tt0089853,the purple rose of cairo,1985,1985,1,0,1,0,0.0
tt0074605,harlan county u s a,1976,1976,1,1,1,1,0.0
tt4126304,cartel land,2015,2015,1,0,1,0,0.0
tt0486358,jesus camp,2006,2006,1,0,1,0,0.0
tt0305206,american splendor,2003,2003,1,0,1,0,0.0
tt11286314,don t look up,2021,2021,4,0,1,0,0.0
tt0383574,pirates of the caribbean dead man s chest,2006,2006,4,1,1,1,0.0
