tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres
tt0099776,movie,Europa Europa,Europa Europa,0,1990,\N,112,"Drama,History,War"
tt0099785,movie,Home Alone,Home Alone,0,1990,\N,103,"Comedy,Family"
tt0099810,movie,The Hunt for Red October,The Hunt for Red October,0,1990,\N,135,"Action,Adventure,Thriller"
tt0099832,movie,Impulse,Impulse,0,1990,\N,109,"Crime,Drama,Thriller"
tt0099871,movie,Jacob's Ladder,Jacob's Ladder,0,1990,\N,113,"Drama,Horror,Mystery"
tt0099949,movie,Korczak,Korczak,0,1990,\N,118,"Biography,Drama,War"
tt0099991,movie,The Last of the Finest,The Last of the Finest,0,1990,\N,106,"Action,Crime,Drama"
tt0100046,movie,The Long Walk Home,The Long Walk Home,0,1990,\N,97,"Drama,History"
tt0100049,movie,Longtime Companion,Longtime Companion,0,1989,\N,100,"Drama,Romance"
tt0100050,movie,Look Who's Talking Too,Look Who's Talking Too,0,1990,\N,81,"Comedy,Family,Romance"
tt0100079,movie,Luther the Geek,Luther the Geek,0,1989,\N,80,"Comedy,Horror"
tt0100095,movie,Maine Pyar Kiya,Maine Pyar Kiya,0,1989,\N,192,"Drama,Musical,Romance"
tt0100107,movie,Maniac Cop 2,Maniac Cop 2,0,1990,\N,90,"Action,Crime,Horror"
tt0100112,movie,The Hairdresser's Husband,Le mari de la coiffeuse,0,1990,\N,82,"Comedy,Drama,Romance"
tt0100129,movie,Meet the Applegates,Meet the Applegates,0,1990,\N,90,"Comedy,Fantasy,Horror"
tt0100151,movie,Mindwalk,Mindwalk,0,1990,\N,112,Drama
tt0100156,movie,Mirror Mirror,Mirror Mirror,0,1990,\N,104,"Horror,Thriller"
tt0100157,movie,Misery,Misery,0,1990,\N,107,"Drama,Thriller"
tt0100196,movie,Mountains of the Moon,Mountains of the Moon,0,1990,\N,136,"Adventure,Drama,History"
tt0100211,movie,Music Box,Music Box,0,1989,\N,124,"Crime,Drama,Thriller"
tt0100232,movie,Navy Seals,Navy Seals,0,1990,\N,113,"Action,Adventure,Thriller"
tt0100261,movie,Nightmare at Noon,Nightmare at Noon,0,1988,\N,96,"Action,Horror,Sci-Fi"
tt0100332,movie,Paris Is Burning,Paris Is Burning,0,1990,\N,78,Documentary
tt0100339,movie,Patlabor: The Movie,Kidô keisatsu patorebâ: Gekijô-ban,0,1989,\N,100,"Action,Animation,Crime"
tt0100405,movie,Pretty Woman,Pretty Woman,0,1990,\N,119,"Comedy,Romance"
tt0100436,movie,Pump Up the Volume,Pump Up the Volume,0,1990,\N,102,"Comedy,Drama,Music"
tt0100470,movie,Journey of Hope,Reise der Hoffnung,0,1990,\N,105,"Adventure,Drama"
tt0100475,movie,Repossessed,Repossessed,0,1990,\N,84,"Comedy,Fantasy,Horror"
tt0100486,movie,Reversal of Fortune,Reversal of Fortune,0,1990,\N,111,"Biography,Drama,Mystery"
tt0100502,movie,RoboCop 2,RoboCop 2,0,1990,\N,117,"Action,Crime,Sci-Fi"
